x,y,z,entity_type
193.66887946348885,80.0,0.0,LWPOLYLINE
191.22431979872331,80.0,0.0,LWPOLYLINE
188.7756802012767,80.0,0.0,LWPOLYLINE
186.33112053651115,80.0,0.0,LWPOLYLINE
183.89880066978895,80.0,0.0,LWPOLYLINE
181.48688046647231,80.0,0.0,LWPOLYLINE
179.10351979192347,80.0,0.0,LWPOLYLINE
176.75687851150457,80.0,0.0,LWPOLYLINE
174.4551164905779,80.0,0.0,LWPOLYLINE
172.2063935945057,80.0,0.0,LWPOLYLINE
170.01886968865014,80.0,0.0,LWPOLYLINE
167.90070463837347,80.0,0.0,LWPOLYLINE
165.86005830903792,80.0,0.0,LWPOLYLINE
163.90509056600567,80.0,0.0,LWPOLYLINE
162.043961274639,80.0,0.0,LWPOLYLINE
160.28483030030006,80.0,0.0,LWPOLYLINE
158.6358575083511,80.0,0.0,LWPOLYLINE
157.1052027641544,80.0,0.0,LWPOLYLINE
155.70102593307212,80.0,0.0,LWPOLYLINE
154.43148688046648,80.0,0.0,LWPOLYLINE
153.30474547169973,80.0,0.0,LWPOLYLINE
152.32896157213406,80.0,0.0,LWPOLYLINE
151.51229504713174,80.0,0.0,LWPOLYLINE
150.8629057620549,80.0,0.0,LWPOLYLINE
150.38895358226588,80.0,0.0,LWPOLYLINE
150.09859837312686,80.0,0.0,LWPOLYLINE
150.0,80.0,0.0,LWPOLYLINE
150.0,80.0,0.0,LWPOLYLINE
150.0,79.90140162687315,0.0,LWPOLYLINE
150.0,79.6110464177341,0.0,LWPOLYLINE
150.0,79.13709423794508,0.0,LWPOLYLINE
150.0,78.48770495286828,0.0,LWPOLYLINE
150.0,77.67103842786594,0.0,LWPOLYLINE
150.0,76.6952545283003,0.0,LWPOLYLINE
150.0,75.56851311953353,0.0,LWPOLYLINE
150.0,74.2989740669279,0.0,LWPOLYLINE
150.0,72.8947972358456,0.0,LWPOLYLINE
150.0,71.36414249164889,0.0,LWPOLYLINE
150.0,69.71516969969994,0.0,LWPOLYLINE
150.0,67.95603872536103,0.0,LWPOLYLINE
150.0,66.09490943399433,0.0,LWPOLYLINE
150.0,64.1399416909621,0.0,LWPOLYLINE
150.0,62.09929536162653,0.0,LWPOLYLINE
150.0,59.981130311349865,0.0,LWPOLYLINE
150.0,57.793606405494316,0.0,LWPOLYLINE
150.0,55.54488350942209,0.0,LWPOLYLINE
150.0,53.24312148849544,0.0,LWPOLYLINE
150.0,50.89648020807657,0.0,LWPOLYLINE
150.0,48.5131195335277,0.0,LWPOLYLINE
150.0,46.101199330211045,0.0,LWPOLYLINE
150.0,43.66887946348885,0.0,LWPOLYLINE
150.0,41.22431979872333,0.0,LWPOLYLINE
150.0,38.775680201276685,0.0,LWPOLYLINE
150.0,36.33112053651115,0.0,LWPOLYLINE
150.0,33.89880066978894,0.0,LWPOLYLINE
150.0,31.486880466472304,0.0,LWPOLYLINE
150.0,29.103519791923446,0.0,LWPOLYLINE
150.0,26.756878511504567,0.0,LWPOLYLINE
150.0,24.4551164905779,0.0,LWPOLYLINE
150.0,22.2063935945057,0.0,LWPOLYLINE
150.0,20.018869688650142,0.0,LWPOLYLINE
150.0,17.90070463837347,0.0,LWPOLYLINE
150.0,15.860058309037917,0.0,LWPOLYLINE
150.0,13.905090566005669,0.0,LWPOLYLINE
150.0,12.043961274638988,0.0,LWPOLYLINE
150.0,10.284830300300058,0.0,LWPOLYLINE
150.0,8.635857508351108,0.0,LWPOLYLINE
150.0,7.105202764154399,0.0,LWPOLYLINE
150.0,5.701025933072117,0.0,LWPOLYLINE
150.0,4.431486880466494,0.0,LWPOLYLINE
150.0,3.304745471699718,0.0,LWPOLYLINE
150.0,2.3289615721340624,0.0,LWPOLYLINE
150.0,1.5122950471317438,0.0,LWPOLYLINE
150.0,0.8629057620549077,0.0,LWPOLYLINE
150.0,0.3889535822658843,0.0,LWPOLYLINE
150.0,0.09859837312686182,0.0,LWPOLYLINE
150.0,0.0,0.0,LWPOLYLINE
150.0,0.0,0.0,PRISMATIC_UP
150.0,0.0,0.0005773436360985566,PRISMATIC_UP
150.0,0.0,0.002225397288234436,PRISMATIC_UP
150.0,0.0,0.004818195072167954,PRISMATIC_UP
150.0,0.0,0.008229771103659423,PRISMATIC_UP
150.0,0.0,0.012334159498469163,PRISMATIC_UP
150.0,0.0,0.017005394372357485,PRISMATIC_UP
150.0,0.0,0.0221175098410847,PRISMATIC_UP
150.0,0.0,0.02754454002041113,PRISMATIC_UP
150.0,0.0,0.033160519026097096,PRISMATIC_UP
150.0,0.0,0.03883948097390289,PRISMATIC_UP
150.0,0.0,0.04445545997958886,PRISMATIC_UP
150.0,0.0,0.049882490158915285,PRISMATIC_UP
150.0,0.0,0.05499460562764249,PRISMATIC_UP
150.0,0.0,0.059665840501530815,PRISMATIC_UP
150.0,0.0,0.06377022889634056,PRISMATIC_UP
150.0,0.0,0.06718180492783203,PRISMATIC_UP
150.0,0.0,0.06977460271176554,PRISMATIC_UP
150.0,0.0,0.07142265636390144,PRISMATIC_UP
150.0,0.0,0.07199999999999998,PRISMATIC_UP
150.0,0.0,0.072,TRANSITION
150.1394071097626,0.0871294436016237,0.072,TRANSITION
150.54450776989626,0.3403173561851655,0.072,TRANSITION
151.1956209766698,0.7472631104186315,0.072,TRANSITION
152.07306572635204,1.2956660789700276,0.072,TRANSITION
153.15716101521178,1.9732256345073607,0.072,TRANSITION
154.4282258395178,2.767641149698635,0.072,TRANSITION
155.86657919553898,3.6666119972118585,0.072,TRANSITION
157.45254007954406,4.657837549715036,0.072,TRANSITION
159.16642748780188,5.729017179876174,0.072,TRANSITION
160.98856041658124,6.867850260363281,0.072,TRANSITION
162.899257862151,8.062036163844358,0.072,TRANSITION
164.87883882077986,9.299274262987414,0.072,TRANSITION
166.90762228873675,10.567263930460456,0.072,TRANSITION
168.9659272622904,11.853704538931488,0.072,TRANSITION
171.03407273770964,13.146295461068519,0.072,TRANSITION
173.09237771126328,14.43273606953955,0.072,TRANSITION
175.12116117922014,15.700725737012588,0.072,TRANSITION
177.10074213784904,16.937963836155646,0.072,TRANSITION
179.01143958341873,18.132149739636723,0.072,TRANSITION
180.83357251219815,19.270982820123834,0.072,TRANSITION
182.54745992045594,20.342162450284963,0.072,TRANSITION
184.13342080446102,21.333388002788144,0.072,TRANSITION
185.5717741604822,22.232358850301367,0.072,TRANSITION
186.84283898478824,23.026774365492646,0.072,TRANSITION
