x,y,z,entity_type,entity_id
150.0,0.0,0.0,LWPOLYLINE,0
230.0,0.0,0.0,LWPOLYLINE,0
230.0,80.0,0.0,LWPOLYLINE,0
150.0,80.0,0.0,LWPOLYLINE,0
150.0,0.0,0.0,LWPOLYLINE,0
190.0,25.0,0.0,CIRCLE,1
189.6722140110071,28.11867536226639,0.0,CIRCLE,1
188.70318186463902,31.101049646137003,0.0,CIRCLE,1
187.13525491562422,33.8167787843871,0.0,CIRCLE,1
185.03695909538288,36.14717238216091,0.0,CIRCLE,1
182.5,37.99038105676658,0.0,CIRCLE,1
179.63525491562422,39.265847744427305,0.0,CIRCLE,1
176.5679269490148,39.9178284305241,0.0,CIRCLE,1
173.4320730509852,39.917828430524104,0.0,CIRCLE,1
170.36474508437578,39.265847744427305,0.0,CIRCLE,1
167.5,37.99038105676658,0.0,CIRCLE,1
164.96304090461712,36.14717238216092,0.0,CIRCLE,1
162.86474508437578,33.8167787843871,0.0,CIRCLE,1
161.29681813536098,31.101049646137,0.0,CIRCLE,1
160.3277859889929,28.11867536226639,0.0,CIRCLE,1
160.0,25.000000000000007,0.0,CIRCLE,1
160.3277859889929,21.881324637733613,0.0,CIRCLE,1
161.29681813536098,18.898950353862997,0.0,CIRCLE,1
162.86474508437578,16.183221215612903,0.0,CIRCLE,1
164.96304090461712,13.85282761783909,0.0,CIRCLE,1
167.5,12.009618943233423,0.0,CIRCLE,1
170.36474508437578,10.734152255572697,0.0,CIRCLE,1
173.4320730509852,10.0821715694759,0.0,CIRCLE,1
176.5679269490148,10.082171569475898,0.0,CIRCLE,1
179.63525491562422,10.734152255572695,0.0,CIRCLE,1
182.5,12.009618943233422,0.0,CIRCLE,1
185.03695909538288,13.85282761783909,0.0,CIRCLE,1
187.13525491562422,16.1832212156129,0.0,CIRCLE,1
188.70318186463902,18.898950353862997,0.0,CIRCLE,1
189.6722140110071,21.881324637733616,0.0,CIRCLE,1
190.0,24.999999999999982,0.0,CIRCLE,1
200.0,50.0,0.0,LWPOLYLINE,2
215.0,50.0,0.0,LWPOLYLINE,2
215.0,70.0,0.0,LWPOLYLINE,2
200.0,70.0,0.0,LWPOLYLINE,2
200.0,50.0,0.0,LWPOLYLINE,2
